"","Name","HighSchool","Position","Rating","NIL.Valuation","Followers","Last.Team","PastConf","New.Team","NewConf","didTransfer","binomialRep"
"188","Kobe King","LB /Cass TechnicalDetroit, MI","LB",88.1,95000,10800,NA,NA,"penn state nittany lions","Big Ten","No",0
"189","Jaiden Ausberry","LB /University LabBaton Rouge, LA","LB",92.39,94000,10700,NA,NA,"notre dame fighting irish","Independent","No",0
"190","Dominic DeLuca","LB /WyomingPittston, PA","LB",50,94000,8700,NA,NA,"recruits",NA,"No",0
"191","Grayson Howard","LB /Andrew JacksonJacksonville, FL","LB",92.3,93000,14400,NA,NA,"south carolina gamecocks","SEC","No",0
"192","Langston Patterson","LB /Christ Presbyterian AcademyNashville, TN","LB",87.78,93000,2700,NA,NA,"vanderbilt commodores","SEC","No",0
"193","Ta'Mere Robinson","LB /BrashearPittsburgh, PA","LB",91.19,93000,14800,NA,NA,"penn state nittany lions","Big Ten","No",0
"194","Tyler Elsdon","LB /North SchuylkillFrackville, PA","LB",86.93,91000,5400,NA,NA,"penn state nittany lions","Big Ten","No",0
"195","S'Maje Burrell","LB /North CrowleyFort Worth, TX","LB",90.17,89000,10300,NA,NA,"texas longhorns","Big 12","No",0
"196","Darris Smith","LB /Appling CountyBaxley, GA","LB",93.95,89000,7100,NA,NA,"georgia bulldogs","SEC","No",0
"197","Khari Coleman","LB /G.W. CarverNew Orleans, LA","LB",86.83,88000,11600,NA,NA,"ole miss rebels","SEC","No",0
"198","Monty Montgomery","LB /NorcrossNorcross, GA","LB",81.1,88000,10700,"louisville cardinals","ACC","ole miss rebels","SEC","Yes",1
"199","Larry Nixon III","LB /RichlandNorth Richland Hills, TX","LB",78,85000,1500,"north texas mean green","American","auburn tigers","SEC","Yes",1
"200","Daymion Sanford","LB /PaetowKaty, TX","LB",89.85,85000,2900,NA,NA,"texas a&m aggies","SEC","No",0
"201","Byron Murphy II","DL /DeSotoDeSoto, TX","DL",89.53,610000,29000,NA,NA,"texas longhorns","Big 12","No",0
"202","T'Vondre Sweat","DL /HuntsvilleHuntsville, TX","DL",86.9,520000,21000,NA,NA,"texas longhorns","Big 12","No",0
"203","Walter Nolen","DL /PowellPowell, TN","DL",99.59,503000,34000,NA,NA,"texas a&m aggies","SEC","No",0
