"","Last Team","New Team","total_nil_valuation","avg_valuation","number_athletes","CurrentConference.x","address_last","lat_last","long_last","CurrentConference.y","address_new","lat_new","long_new"
"196","arkansas state red wolves","james madison dukes",0,0,1,"Sun Belt","Jonesboro, AR",35.8272257,-90.6949871,"Sun Belt","Harrisonburg, VA",38.4493315,-78.8688833
"197","army black knights","ucla bruins",0,0,1,"Independent[n 4]","West Point, NY",40.8512481,-72.5359869,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"198","auburn tigers","kansas jayhawks",0,0,1,"SEC","Auburn, AL",32.6405377,-85.4626848,"Big 12","Lawrence, KS",38.9719384,-95.2359496
"199","auburn tigers","purdue boilermakers",0,0,1,"SEC","Auburn, AL",32.6405377,-85.4626848,"Big Ten","West Lafayette, IN",40.4258686,-86.9080655
"200","auburn tigers","utah utes",0,0,1,"SEC","Auburn, AL",32.6405377,-85.4626848,"Pac-12[n 3]","Salt Lake City, UT",40.7596198,-111.886797
"201","austin peay governors","arizona state sun devils",0,0,1,"UAC","Clarksville, Tennessee",36.5277607,-87.3588703,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164
"202","austin peay governors","indiana hoosiers",0,0,1,"UAC","Clarksville, Tennessee",36.5277607,-87.3588703,"Big Ten","Bloomington, IN",39.1670396,-86.5342881
"203","austin peay governors","texas tech red raiders",0,0,1,"UAC","Clarksville, Tennessee",36.5277607,-87.3588703,"Big 12","Lubbock, TX",33.5855677,-101.8470215
"204","baylor bears","arkansas razorbacks",0,0,2,"Big 12","Waco, TX",31.5491899,-97.1474628,"SEC","Fayetteville, AR",36.0625843,-94.1574328
"205","baylor bears","louisville cardinals",0,0,1,"Big 12","Waco, TX",31.5491899,-97.1474628,"ACC","Louisville, KY",38.2542376,-85.759407
"206","baylor bears","north texas mean green",0,0,1,"Big 12","Waco, TX",31.5491899,-97.1474628,"American","Denton, TX",33.1838787,-97.1413417
"207","boise state broncos","byu cougars",0,0,1,"Mountain West","Boise, ID",43.6166163,-116.200886,"Big 12","Provo, UT",40.2337289,-111.6587085
"208","boise state broncos","louisiana tech bulldogs",0,0,1,"Mountain West","Boise, ID",43.6166163,-116.200886,"C-USA","Ruston, LA",32.5232053,-92.637927
"209","boise state broncos","michigan state spartans",0,0,1,"Mountain West","Boise, ID",43.6166163,-116.200886,"Big Ten","East Lansing, MI",42.7320307,-84.4721678
"210","boston college eagles","pittsburgh panthers",0,0,1,"ACC","Chestnut Hill, MA",42.3306529,-71.1661647,"ACC","Pittsburgh[n 21], PA",40.4416941,-79.9900861
"211","bowling green falcons","kansas jayhawks",0,0,1,"MAC","Bowling Green, OH",41.3747744,-83.6513229,"Big 12","Lawrence, KS",38.9719384,-95.2359496
"212","bowling green falcons","purdue boilermakers",0,0,1,"MAC","Bowling Green, OH",41.3747744,-83.6513229,"Big Ten","West Lafayette, IN",40.4258686,-86.9080655
"213","bowling green falcons","ucla bruins",0,0,1,"MAC","Bowling Green, OH",41.3747744,-83.6513229,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"214","buffalo bulls","unlv rebels",0,0,1,"MAC","Buffalo, NY",42.8867166,-78.8783922,"Mountain West","Las Vegas[n 29], NV",36.1672559,-115.148516
"215","buffalo bulls","western kentucky hilltoppers",0,0,1,"MAC","Buffalo, NY",42.8867166,-78.8783922,"C-USA","Bowling Green, KY",36.9903199,-86.4436018
"216","byu cougars","baylor bears",0,0,2,"Big 12","Provo, UT",40.2337289,-111.6587085,"Big 12","Waco, TX",31.5491899,-97.1474628
"217","byu cougars","colorado state rams",0,0,1,"Big 12","Provo, UT",40.2337289,-111.6587085,"Mountain West","Fort Collins, CO",40.5871782,-105.0770113
"218","byu cougars","tennessee volunteers",0,0,1,"Big 12","Provo, UT",40.2337289,-111.6587085,"SEC","Knoxville, TN",35.9603948,-83.9210261
"219","cal poly mustangs","washington huskies",0,0,1,"Big Sky","San Luis Obispo, California",35.3540209,-120.375716,"Pac-12[n 19]","Seattle, WA",47.6038321,-122.330062
"220","california golden bears","arizona state sun devils",0,0,4,"Pac-12[n 6]","Berkeley, CA",37.8708393,-122.272863,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164
"221","california golden bears","kansas jayhawks",0,0,1,"Pac-12[n 6]","Berkeley, CA",37.8708393,-122.272863,"Big 12","Lawrence, KS",38.9719384,-95.2359496
"222","california golden bears","nevada wolf pack",0,0,1,"Pac-12[n 6]","Berkeley, CA",37.8708393,-122.272863,"Mountain West","Reno, NV",39.5261206,-119.8126581
"223","california golden bears","oregon state beavers",0,0,1,"Pac-12[n 6]","Berkeley, CA",37.8708393,-122.272863,"Pac-12","Corvallis, OR",44.5645659,-123.2620435
"224","central michigan chippewas","oklahoma sooners",0,0,1,"MAC","Mount Pleasant, MI",33.1570582,-94.9694007,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816
