"","Name","High School","Position","Rating","College","NIL Valuation","Followers"
"93","Chris Peal","CB /Providence Day SchoolCharlotte, NC","CB",92.68,"Georgia Bulldogs",105000,3600
"94","Earl Little Jr.","CB /American HeritageFort Lauderdale, FL","CB",94.78,"Alabama Crimson Tide",105000,30000
"95","Tyreek Chappell","CB /NortheastPhiladelphia, PA","CB",88.55,"Texas Am Aggies",105000,13100
"96","Nehemiah Pritchett","CB /JacksonJackson, AL","CB",88.4,"Auburn Tigers",104000,13600
"97","DeShawn Gaddie Jr.","CB /LamarArlington, TX","CB",82.6,"Ole Miss Rebels",103000,160000
"98","Jalen Kimber","CB /Mansfield TimberviewArlington, TX","CB",93.46,"Florida Gators",103000,12200
"99","Sharif Denson","CB /Bartram TrailJacksonville, FL","CB",91.1,"Florida Gators",102000,18500
"100","Gavin Pringle","CB /Mount Saint JosephPhiladelphia, PA","CB",0,"Georgia State Panthers",101000,865
"101","Harold Perkins","LB /Cy ParkCypress, TX","LB",98.41,"Lsu Tigers",558000,58000
"102","Anthony Hill","LB /RyanDenton, TX","LB",97.87,"Texas Longhorns",497000,38000
"103","Abdul Carter","LB /La Salle CollegePhiladelphia, PA","LB",91.35,"Penn State Nittany Lions",478000,19200
"104","Justin Flowe","LB /UplandUpland, CA","LB",99.05,"Arizona Wildcats",448000,507000
"105","Payton Wilson","LB /OrangeHillsborough, NC","LB",94.94,"Nc State Wolfpack",435000,10800
"106","Cedric Gray","LB /Ardrey KellCharlotte, NC","LB",85.47,"North Carolina Tar Heels",429000,8400
"107","Deontae Lawson","LB /Mobile Christian SchoolMobile, AL","LB",96.08,"Alabama Crimson Tide",393000,22000
"108","Jeremiah Trotter Jr.","LB /St. Joseph'sPhiladelphia, PA","LB",96.77,"Clemson Tigers",385000,12700
"109","Marlowe Wax","LB /Mount Saint JosephBaltimore, MD","LB",83.7,"Syracuse Orange",385000,8200
"110","Nathaniel Watson","LB /MaplesvilleMaplesville, AL","LB",86.27,"Mississippi State Bulldogs",369000,4700
"111","Jett Johnson","LB /TupeloTupelo, MS","LB",84.37,"Mississippi State Bulldogs",350000,17100
"112","Danny Stutsman","LB /Foundation AcademyWinter Garden, FL","LB",89.46,"Oklahoma Sooners",326000,61000
"113","Tommy Eichenberg","LB /St IgnatiusCleveland, OH","LB",89.41,"Ohio State Buckeyes",323000,19600
"114","Edgerrin Cooper","LB /CovingtonCovington, LA","LB",92.38,"Texas Am Aggies",319000,41000
"115","Eugene Asante","LB /WestfieldChantilly, VA","LB",91.01,"Auburn Tigers",298000,19600
"116","Jaylan Ford","LB /Lone StarFrisco, TX","LB",83.17,"Texas Longhorns",296000,8800
"117","Trevin Wallace","LB /Wayne CountyJesup, GA","LB",94.25,"Kentucky Wildcats",292000,3500
"118","Suntarine Perkins","LB /RaleighRaleigh, MS","LB",98.14,"Ole Miss Rebels",280000,17100
"119","Curtis Jacobs","LB /McDonogh SchoolGlen Burnie, MD","LB",96.39,"Penn State Nittany Lions",271000,17600
"120","Qua Russaw","LB /Carver Montgomery, AL","LB",97.32,"Alabama Crimson Tide",268000,13500
"121","Tyrice Knight","LB /Lake GibsonLakeland, FL","LB",78.65,"Utep Miners",261000,1300
"122","Barrett Carter","LB /North GwinnettSuwanee, GA","LB",96.97,"Clemson Tigers",259000,26000
"123","Raylen Wilson","LB /LincolnTallahassee, FL","LB",97.26,"Georgia Bulldogs",249000,89000
"124","Smael Mondon","LB /Paulding CountyDallas, GA","LB",97.01,"Georgia Bulldogs",239000,23000
"125","Aaron Beasley","LB /Heard CountyFranklin, GA","LB",88.37,"Tennessee Volunteers",216000,12900
"126","Collin Oliver","LB /Santa FeEdmond, OK","LB",89.07,"Oklahoma State Cowboys",211000,5000
"127","C.J. Hicks","LB /Archbishop AlterDayton, OH","LB",98.14,"Ohio State Buckeyes",202000,161000
