"","Name","High.School","Position","Rating","NIL.Valuation","Followers","Last.Team","New.Team"
"508","Logan Brown","East Kentwood","OT",0,0,0,"wisconsin badgers","kansas jayhawks"
"509","Campbell Barrington","University","OT",0,0,0,"byu cougars","baylor bears"
"510","Caleb Johnson","Trinity Catholic","OT",0,0,0,"notre dame fighting irish","smu mustangs"
"511","Bram Walden","Saguaro","OT",0,0,0,"oregon ducks","arizona state sun devils"
"512","Hyrin White","DeSoto","OT",0,0,0,"missouri tigers","smu mustangs"
"513","Jaylen Garth","Port Neches-Groves","OT",0,0,0,"texas longhorns","houston cougars"
"514","Marcellus Johnson","Normal Community","OT",0,0,0,"eastern michigan eagles","missouri tigers"
"515","Jacob Hood","Hillsboro","OT",0,0,0,"georgia bulldogs","nebraska cornhuskers"
"516","Aaron Frost","Long Beach Poly","OT",0,0,0,"nevada wolf pack","arizona state sun devils"
"517","Kiyaunta Goodwin","Charlestown","OT",0,0,0,"kentucky wildcats","florida gators"
"518","Nick Gargiulo","Somers Senior","OT",0,0,0,"yale bulldogs","south carolina gamecocks"
"519","Rod Orr","Gadsden City","OT",0,0,0,"florida state seminoles","toledo rockets"
"520","Spencer Lovell","Rocky Mountain","OT",0,0,0,"california golden bears","kansas jayhawks"
"521","Evan Jumper","Myrtle Beach ","OT",0,0,0,"furman paladins","coastal carolina chanticleers"
"522","Lyndell Hudson","Central","OT",0,0,0,"fiu golden panthers","florida gators"
"523","Nash Jones","Nacogdoches","OT",0,0,0,"incarnate word cardinals","texas state bobcats"
"524","Shamar Hobdy-Lee","Jefferson","OT",0,0,0,"fiu golden panthers","houston cougars"
"525","Jonathan Mucciolo","Archbishop Stepinac","OT",0,0,0,"sacred heart pioneers","ball state cardinals"
"526","Jyaire Shorter","Ellison","TE",0,86000,0,"north texas mean green","auburn tigers"
"527","Mathias Barnwell","Riverbend","TE",0,60000,0,"penn state nittany lions","undecided"
"528","Seydou Traore","Clearwater Academy International","TE",0,0,0,"arkansas state red wolves","colorado buffaloes"
"529","Var'Keyes Gumms","Dekaney","TE",0,0,0,"north texas mean green","arkansas razorbacks"
"530","Kyle Morlock","Union County","TE",0,0,0,"shorter hawks","florida state seminoles"
"531","Arik Gilbert","Marietta","TE",0,0,0,"georgia bulldogs","nebraska cornhuskers"
"532","Josh Cuevas","Campbell Hall School","TE",0,0,0,"cal poly mustangs","washington huskies"
"533","Joshua Simon","Crestwood","TE",0,0,0,"western kentucky hilltoppers","south carolina gamecocks"
"534","Jermaine Terry","Kennedy","TE",0,0,0,"california golden bears","oregon state beavers"
"535","Casey Kelly","Mallard Creek","TE",0,0,0,"ole miss rebels","oregon ducks"
"536","Moliki Matavao","Liberty","TE",0,0,0,"oregon ducks","ucla bruins"
"537","Elijah Brown","Wayne","TE",0,0,0,"alabama crimson tide","florida atlantic owls"
"538","Blake Smith","Southlake Carroll","TE",0,0,0,"texas am aggies","oklahoma sooners"
"539","Geor'quarius Spivey","Richwood","TE",0,0,0,"tcu horned frogs","mississippi state bulldogs"
"540","Louis Hansen","St. Sebastian's","TE",0,0,0,"michigan wolverines","connecticut huskies"
"541","Jake Roberts","Norman North","TE",0,0,0,"north texas mean green","baylor bears"
"542","Keleki Latu","Jesuit","TE",0,0,0,"california golden bears","nevada wolf pack"
"543","Joey Beljan","Delaware Valley","TE",0,0,0,"western kentucky hilltoppers","cincinnati bearcats"
"544","Trevor Borland","Bolingbrook","TE",0,0,0,"buffalo bulls","western kentucky hilltoppers"
"545","Alex Lines","Higley","TE",0,0,0,"arizona wildcats","undecided"
"546","Malcolm Epps","Dekaney","TE",0,0,0,"usc trojans","pittsburgh panthers"
"547","Landen King","Atascocita","TE",0,0,0,"auburn tigers","utah utes"
"548","Ryland Goede","Kennesaw Mountain","TE",0,0,0,"georgia bulldogs","mississippi state bulldogs"
"549","Matthew Hall","Rock Bridge","TE",0,0,0,"football/2023/industry comparison commits/","rice owls"
"550","Dallin Holker","Lehi","TE",0,0,0,"byu cougars","colorado state rams"
"551","Terrell Tilmon","Mansfield Timberview","TE",0,0,0,"oregon ducks","texas tech red raiders"
"552","Keaton Upshaw","Lima Senior","TE",0,0,0,"kentucky wildcats","georgia southern eagles"
"553","Taylor Thompson","Prattville","TE",0,0,0,"charlotte 49ers","james madison dukes"
"554","Chris Carter","South Dade","TE",0,0,0,"usf bulls","tulane green wave"
"555","Jaylan Franklin","Oscar A. Carlson","TE",0,0,0,"wisconsin badgers","michigan state spartans"
"556","Barret Liebentritt","Skutt Catholic","TE",0,0,0,"notre dame fighting irish","nebraska cornhuskers"
"557","Tyneil Hopper","Roswell","TE",0,0,0,"boise state broncos","michigan state spartans"
"558","Cane Berrong","Hart County","TE",0,0,0,"notre dame fighting irish","coastal carolina chanticleers"
"559","J.T. Byrne","Carmel","TE",0,0,0,"oregon state beavers","california golden bears"
"560","Brett Seither","Clearwater Central Catholic","TE",0,0,0,"georgia bulldogs","georgia tech yellow jackets"
"561","Tanner Arkin","Fossil Ridge","TE",0,0,0,"colorado state rams","illinois fighting illini"
"562","James Carnie","Norris","TE",0,0,0,"nebraska cornhuskers","concordia university nebraska bulldogs"
"563","Mike O'Laughlin","Fenwick","TE",0,0,0,"west virginia mountaineers","houston cougars"
"564","Devontez Walker","West Charlotte","WR",0,206000,0,"kent state golden flashes","north carolina tar heels"
"565","Tez Johnson","Pinson Valley","WR",0,134000,0,"troy trojans","oregon ducks"
"566","Gage Larvadain","Riverside Academy","WR",0,113000,0,"southeastern louisiana lions","miami oh redhawks"
"567","Traeshon Holden","Narbonne","WR",0,110000,0,"alabama crimson tide","oregon ducks"
"568","Brenen Thompson","Spearman","WR",0,108000,0,"texas longhorns","oklahoma sooners"
"569","Billy Kemp","Highland Springs","WR",0,101000,0,"virginia cavaliers","nebraska cornhuskers"
"570","Rara Thomas","Eufaula ","WR",0,98000,0,"mississippi state bulldogs","georgia bulldogs"
"571","Xzavier Henderson","Columbus","WR",0,98000,0,"florida gators","cincinnati bearcats"
"572","Dominic Lovett","East St. Louis","WR",0,94000,0,"missouri tigers","georgia bulldogs"
"573","Dante Cephas","Penn Hills","WR",0,92000,0,"kent state golden flashes","penn state nittany lions"
"574","Aaron Anderson","Edna Karr","WR",0,91000,0,"alabama crimson tide","lsu tigers"
"575","Seven McGee","East","WR",0,90000,0,"oregon ducks","jackson state tigers"
"576","Steven McBride","East Ascension","WR",0,88000,0,"kansas jayhawks","hawaii rainbow warriors"
"577","Malachi Wideman","Venice","WR",0,86000,0,"jackson state tigers","undecided"
"578","Josh Fleeks","Cedar Hill","WR",0,86000,0,"baylor bears","nebraska cornhuskers"
"579","Zakhari Franklin","Cedar Hill","WR",0,83000,0,"utsa roadrunners","ole miss rebels"
"580","Agiye Hall","Bloomingdale","WR",0,81000,0,"texas longhorns","undecided"
"581","Kevin Coleman","St. Mary's","WR",0,81000,0,"jackson state tigers","louisville cardinals"
"582","Theo Wease","Allen","WR",0,73000,0,"oklahoma sooners","missouri tigers"
"583","Gary Bryant Jr.","Centennial","WR",0,67000,0,"usc trojans","oregon ducks"
"584","Tyrone Broden","West Bloomfield","WR",0,65000,0,"bowling green falcons","arkansas razorbacks"
"585","C.J. Williams","Mater Dei","WR",0,65000,0,"usc trojans","wisconsin badgers"
"586","Trevon West","Lamar","WR",0,63000,0,"oklahoma sooners","undecided"
"587","Andrew Armstrong","Bishop Dunne","WR",0,60000,0,"texas am commerce lions","arkansas razorbacks"
"588","Ali Jennings","Highland Springs","WR",0,0,0,"old dominion monarchs","virginia tech hokies"
"589","Jordan Hudson","Garland","WR",0,0,0,"tcu horned frogs","smu mustangs"
"590","Deandrae McCray","North Florida Christian","WR",0,0,0,"austin peay governors","texas tech red raiders"
"591","JoJo Earle","Aledo","WR",0,0,0,"alabama crimson tide","tcu horned frogs"
"592","Elijah Spencer","Dutch Fork","WR",0,0,0,"charlotte 49ers","minnesota golden gophers"
"593","Kaleb Brown","St. Rita","WR",0,0,0,"ohio state buckeyes","iowa hawkeyes"
"594","Jaylin Lane","Clover","WR",0,0,0,"middle tennessee state blue raiders","virginia tech hokies"
"595","Christian Leary","Edgewater","WR",0,0,0,"alabama crimson tide","georgia tech yellow jackets"
"596","Lorenzo Styles Jr.","Pickerington Central","WR",0,0,0,"notre dame fighting irish","ohio state buckeyes"
"597","Tyrese Chambers","Baltimore Polytechnic Institute","WR",0,0,0,"fiu golden panthers","maryland terrapins"
"598","Dillon Johnson","St Joseph","RB",0,123000,0,"mississippi state bulldogs","washington huskies"
"599","Quinton Cooley","Southern Nash","RB",0,98000,0,"wake forest demon deacons","liberty flames"
"600","Justin Williams-Thomas","East Paulding","RB",0,62000,0,"tennessee volunteers","california golden bears"
"601","Sean Tyler","Rich Central Campus","RB",0,0,0,"western michigan broncos","minnesota golden gophers"
"602","Brian Battie","Sarasota","RB",0,0,0,"usf bulls","auburn tigers"
"603","Bhayshul Tuten","","RB",0,0,0,"north carolina at aggies","virginia tech hokies"
"604","Dae Dae Hunter","Chandler","RB",0,0,0,"liberty flames","undecided"
"605","LJ Johnson","Cy-Fair","RB",0,0,0,"texas am aggies","smu mustangs"
"606","Caziah Holmes","Cocoa","RB",0,0,0,"penn state nittany lions","florida state seminoles"
"607","Kobe Pace","Cedartown","RB",0,0,0,"clemson tigers","virginia cavaliers"
"608","Alton McCaskill","Oak Ridge","RB",0,0,0,"houston cougars","colorado buffaloes"
"609","Marquez Cooper","Quince Orchard","RB",0,0,0,"kent state golden flashes","ball state cardinals"
"610","Jaylan Knighton","Deerfield Beach","RB",0,0,0,"miami hurricanes","smu mustangs"
"611","Cameron Skattebo","Rio Linda","RB",0,0,0,"sacramento state hornets","arizona state sun devils"
"612","Isaiah Ifanse","Bellevue","RB",0,0,0,"montana state bobcats","california golden bears"
"613","Quali Conley","Central East","RB",0,0,0,"utah tech trailblazers","san jose state spartans"
"614","Christian Turner","Buford","RB",0,0,0,"wake forest demon deacons","indiana hoosiers"
"615","Aidan Robbins","Dupont Manual","RB",0,0,0,"unlv rebels","byu cougars"
"616","Azhaun Dingle","Bayonne","RB",0,0,0,"northern illinois huskies","undecided"
"617","Keyvone Lee","American Collegiate Academy","RB",0,0,0,"penn state nittany lions","mississippi state bulldogs"
"618","Elijah Collins","University Of Detroit Jesuit HS","RB",0,0,0,"michigan state spartans","oklahoma state cowboys"
"619","Arlen Harris Jr.","Lutheran Of St Charles County","RB",0,0,0,"stanford cardinal","iowa state cyclones"
"620","Ryan Butler","Bergen Catholic","RB",0,0,0,"princeton tigers","undecided"
"621","Ajay Allen Jr.","Neville","RB",0,0,0,"nebraska cornhuskers","miami hurricanes"
"622","DeCarlos Brooks","Chandler","RB",0,0,0,"california golden bears","arizona state sun devils"
"623","Trevion Cooley","Knightdale","RB",0,0,0,"louisville cardinals","georgia tech yellow jackets"
"624","Daniyel Ngata","Folsom","RB",0,0,0,"arizona state sun devils","washington huskies"
"625","Keshawn King","Oakleaf","RB",0,0,0,"virginia tech hokies","western michigan broncos"
"626","Jalen Mitchell","Rockledge","RB",0,0,0,"louisville cardinals","connecticut huskies"
