"","Name","High School","Position","Rating","College","NIL Valuation","Followers","Conference"
"424","Kyle Hergel","IOL /Clarkson Football NorthToronto, ON","IOL",50,"Boston College Eagles",189000,3200,"ACC"
"425","Connor Robertson","IOL /WestlakeAustin, TX","IOL",88.67,"Texas Longhorns",185000,8000,"Big 12"
"426","Neto Umeozulu","IOL /AllenAllen, TX","IOL",95,"Texas Longhorns",184000,6600,"Big 12"
"427","Cole Hutson","IOL /FriscoFrisco, TX","IOL",88.98,"Texas Longhorns",184000,6300,"Big 12"
"428","J'ven Williams","IOL /WyomissingReading, PA","IOL",96.45,"Penn State Nittany Lions",177000,9600,"Big Ten"
"429","Dylan Fairchild","IOL /West ForsythCumming, GA","IOL",93.92,"Georgia Bulldogs",175000,6100,"SEC"
"430","Bucky Williams","IOL /RinggoldRinggold, GA","IOL",50,"Appalachian State Mountaineers",151000,1600,"Sun Belt"
"431","Garrett Curran","IOL /Granite HillsEl Cajon, CA","IOL",82.38,"Boise State Broncos",149000,1500,"Mountain West"
"432","Alex Birchmeier","IOL /Broad RunAshburn, VA","IOL",95.83,"Penn State Nittany Lions",146000,10900,"Big Ten"
"433","Cooper Mays","IOL /Knoxville CatholicKnoxville, TN","IOL",90.18,"Tennessee Volunteers",146000,43000,"SEC"
"434","Jaydon Chatman","IOL /Harker HeightsHarker Heights, TX","IOL",91.87,"Texas Longhorns",144000,3500,"Big 12"
"435","Andrew Raym","IOL /Broken ArrowBroken Arrow, OK","IOL",94.03,"Oklahoma Sooners",141000,15300,"Big 12"
"436","Addison Nichols","IOL /Greater Atlanta Christian SchoolNorcross, GA","IOL",92.62,"Tennessee Volunteers",135000,14400,"SEC"
"437","Parker Brailsford","IOL /SaguaroScottsdale, AZ","IOL",88.25,"Washington Huskies",133000,2200,"Pac-12"
"438","Javontez Spraggins","IOL /East St. LouisEast Saint Louis, IL","IOL",87.5,"Tennessee Volunteers",132000,10600,"SEC"
"439","Jackson Lampley","IOL /Montgomery Bell AcademyNashville, TN","IOL",91.01,"Tennessee Volunteers",132000,8800,"SEC"
"440","Roderick Kearney","IOL /Orange ParkOrange Park, FL","IOL",93.61,"Florida Gators",125000,86000,"SEC"
"441","Miles McVay","IOL /East St. LouisEast Saint Louis, IL","IOL",92.5,"Alabama Crimson Tide",124000,12600,"SEC"
"442","T.J. Shanahan","IOL /WestlakeOrlando, FL","IOL",92.62,"Texas A&M Aggies",123000,18600,"SEC"
"443","Christian Mahogany","IOL /Paramus CatholicParamus, NJ","IOL",82.17,"Boston College Eagles",123000,14100,"ACC"
"444","Justin Osborne","IOL /IMG AcademyFlower Mound, TX","IOL",88.4,"Smu Mustangs",120000,464,"American"
"445","DJ Chester","IOL /Eagle's Landing ChristianConyers, GA","IOL",93.48,"Lsu Tigers",117000,3100,"SEC"
"446","Harris Sewell","IOL /PermianOdessa, TX","IOL",92.96,"Clemson Tigers",114000,8600,"ACC"
"447","Spencer Fano","IOL /TimpviewProvo, UT","IOL",94.86,"Utah Utes",112000,7100,"Pac-12"
"448","Keiondre Jones","IOL /CallawayHogansville, GA","IOL",92.21,"Florida State Seminoles",109000,74000,"ACC"
"449","Marcus Tate","IOL /TRU Prep AcademyMiami Gardens, FL","IOL",93,"Clemson Tigers",107000,8200,"ACC"
"450","Marcellus Marshall","IOL /MorgantownMorgantown, WV","IOL",80.15,"Ucf Knights",106000,1200,"Big 12"
"451","Maurice Smith","IOL /Miami CentralMiami, FL","IOL",84.6,"Florida State Seminoles",102000,9700,"ACC"
"452","Donovan Jackson","IOL /EpiscopalBellaire, TX","IOL",97.92,"Ohio State Buckeyes",102000,21000,"Big Ten"
"453","Casey Roddick","IOL /St. BonaventureVentura, CA","IOL",84.75,"Florida State Seminoles",102000,8500,"ACC"
"454","Caleb Lomu","IOL /HighlandGilbert, AZ","IOL",94.03,"Utah Utes",101000,3900,"Pac-12"
"455","Jaylen Early","IOL /DuncanvilleDuncanville, TX","IOL",89.39,"Florida State Seminoles",101000,7000,"ACC"
"456","Seth McLaughlin","IOL /BufordBuford, GA","IOL",88.53,"Alabama Crimson Tide",98000,9900,"SEC"
"457","Carson Hinzman","IOL /Saint Croix CentralHammond, WI","IOL",92.59,"Ohio State Buckeyes",97000,32000,"Big Ten"
"458","Terrence Ferguson","IOL /Peach CountyFort Valley, GA","IOL",95.38,"Alabama Crimson Tide",97000,8500,"SEC"
"459","James Brockermeyer","IOL /All Saints EpiscopalFort Worth, TX","IOL",91.28,"Alabama Crimson Tide",97000,8900,"SEC"
"460","Bryce Foster","IOL /TaylorKaty, TX","IOL",95.96,"Texas A&M Aggies",96000,24000,"SEC"
"461","Enokk Vimahi","IOL /KahukuKahuku, HI","IOL",93.58,"Ohio State Buckeyes",95000,6400,"Big Ten"
"462","Mason Murphy","IOL /J Serra CatholicSan Juan Capistrano, CA","IOL",88.71,"Usc Trojans",95000,3500,"Pac-12"
"463","Richie Leonard","IOL /CocoaCocoa, FL","IOL",86.47,"Florida Gators",95000,11200,"SEC"
"465","Jaeden Roberts","IOL /North ShoreHouston, TX","IOL",90.8,"Alabama Crimson Tide",94000,3900,"SEC"
"466","Kam Dewberry","IOL /AtascocitaHumble, TX","IOL",95.45,"Texas A&M Aggies",94000,20000,"SEC"
"467","Gino Quinones","IOL /St. LouisHonolulu, HI","IOL",82.83,"Usc Trojans",94000,1500,"Pac-12"
"468","Emmanuel Pregnon","IOL /Thomas JeffersonDenver, CO","IOL",50,"Usc Trojans",94000,1500,"Pac-12"
"469","Micah Morris","IOL /Camden CountyKingsland, GA","IOL",95.43,"Georgia Bulldogs",93000,28000,"SEC"
"470","Kelton Smith","IOL /CarverColumbus, GA","IOL",92.27,"Georgia Bulldogs",93000,3700,"SEC"
"471","Kingsley Eguakun","IOL /SandalwoodJacksonville, FL","IOL",86.53,"Florida Gators",93000,6800,"SEC"
"472","Dmitri Emmanuel","IOL /Marvin RidgeWaxhaw, NC","IOL",79,"Florida State Seminoles",92000,2600,"ACC"
"473","Jake Slaughter","IOL /Trinity CatholicOcala, FL","IOL",86.77,"Florida Gators",92000,4100,"SEC"
"474","Tate Johnson","IOL /CallawayHogansville, GA","IOL",88.67,"Auburn Tigers",91000,7400,"SEC"
"475","Avery Jones","IOL /HavelockHavelock, NC","IOL",90.88,"Auburn Tigers",90000,5000,"SEC"
"476","Nouredin Nouili","IOL /NorrisFirth, NE","IOL",79.27,"Colorado State Rams",90000,9400,"Mountain West"
"477","Henry Lutovsky","IOL /Mount PleasantMount Pleasant, IA","IOL",88.4,"Nebraska Cornhuskers",89000,6400,"Big Ten"
"478","Ethan Piper","IOL /Norfolk CatholicNorfolk, NE","IOL",82.53,"Nebraska Cornhuskers",89000,5900,"Big Ten"
"479","Ben Scott","IOL /St. LouisHonolulu, HI","IOL",80.97,"Nebraska Cornhuskers",89000,4600,"Big Ten"
"480","Beaux Limmer","IOL /Tyler LeeTyler, TX","IOL",86.57,"Arkansas Razorbacks",88000,4100,"SEC"
"481","Dametrious Crownover","IOL /GrandviewGrandview, TX","IOL",89,"Texas A&M Aggies",88000,4000,"SEC"
"482","Justin Evans-Jenkins","IOL /IrvingtonIrvington, NJ","IOL",82.07,"Nebraska Cornhuskers",88000,2900,"Big Ten"
"483","Darrian Dalcourt","IOL /St. Frances AcademyBaltimore, MD","IOL",92.1,"Alabama Crimson Tide",88000,3700,"SEC"
"484","Markee Anderson","IOL /DormanRoebuck, SC","IOL",92.75,"South Carolina Gamecocks",87000,5600,"SEC"
"485","Nick Dawkins","IOL /ParklandAllentown, PA","IOL",84.47,"Penn State Nittany Lions",87000,18500,"Big Ten"
"486","Josh Padilla","IOL /WayneDayton, OH","IOL",91.08,"Ohio State Buckeyes",86000,5500,"Big Ten"
"487","Gus Zilinskas","IOL /Cherry CreekEnglewood, CO","IOL",80.75,"Rutgers Scarlet Knights",85000,2100,"Big Ten"
"489","Jalen Farmer","IOL /EastsideCovington, GA","IOL",87.28,"Florida Gators",84000,1400,"SEC"
"490","Xavier Truss","IOL /Bishop HendrickenWarwick, RI","IOL",91.5,"Georgia Bulldogs",84000,11900,"SEC"
"491","JB Nelson","IOL /Mt. LebanonPittsburgh, PA","IOL",91.73,"Penn State Nittany Lions",83000,3900,"Big Ten"
"492","Vega Ioane","IOL /Graham-KapowsinGraham, WA","IOL",87.9,"Penn State Nittany Lions",83000,4100,"Big Ten"
"493","Saleem Wormley","IOL /SmyrnaSmyrna, DE","IOL",89.77,"Penn State Nittany Lions",82000,2300,"Big Ten"
"494","Hunter Nourzad","IOL /The Walker SchoolMarietta, GA","IOL",50,"Penn State Nittany Lions",82000,1900,"Big Ten"
"496","Mark Nabou","IOL /O'DeaSeattle, WA","IOL",88.53,"Texas A&M Aggies",81000,1900,"SEC"
"497","Layden Robinson","IOL /ManvelManvel, TX","IOL",88.4,"Texas A&M Aggies",80000,1700,"SEC"
"498","Jared Wilson","IOL /West ForsythClemmons, NC","IOL",91.06,"Georgia Bulldogs",80000,5000,"SEC"
"499","Cedrick Nicely","IOL /GainesvilleGainesville, GA","IOL",85.63,"Ole Miss Rebels",78000,3300,"SEC"
"500","Victor Curne","IOL /Second BaptistHouston, TX","IOL",85.75,"Ole Miss Rebels",77000,2400,"SEC"
"501","Kelvin Banks","OT /Summer CreekHumble, TX","OT",97.49,"Texas Longhorns",802000,19700,"Big 12"
"502","Christian Jones","OT /Cy WoodsCypress, TX","OT",85.93,"Texas Longhorns",767000,5900,"Big 12"
"503","Joe Alt","OT /Totino-GraceMinneapolis, MN","OT",89.7,"Notre Dame Fighting Irish",746000,5300,"Independent"
"504","Olu Fashanu","OT /Gonzaga Washington, DC","OT",88.7,"Penn State Nittany Lions",727000,9800,"Big Ten"
