"","Name","High School","Position","Rating","College","NIL Valuation","Followers","Conference"
"780","Chris Culliver","WR /MaidenMaiden, NC","WR",93.51,"North Carolina Tar Heels",119000,16400,"ACC"
"781","Anthony Evans","WR /JudsonConverse, TX","WR",92.16,"Georgia Bulldogs",119000,25000,"SEC"
"782","Jaden Greathouse","WR /WestlakeAustin, TX","WR",92.84,"Notre Dame Fighting Irish",119000,29000,"Independent"
"784","Destyn Hill","WR /Edna KarrNew Orleans, LA","WR",93.85,"Florida State Seminoles",114000,16000,"ACC"
"785","Ja'Khi Douglas","WR /TerrebonneHouma, LA","WR",90.1,"Florida State Seminoles",114000,15300,"ACC"
"786","Cristian Driver","WR /Liberty ChristianFlower Mound, TX","WR",90.2,"Penn State Nittany Lions",114000,118000,"Big Ten"
"787","Marcus Rosemy-Jacksaint","WR /St. Thomas AquinasFort Lauderdale, FL","WR",94.97,"Georgia Bulldogs",111000,36000,"SEC"
"788","Noah Thomas","WR /Clear SpringsLeague City, TX","WR",89.28,"Texas A&M Aggies",110000,88000,"SEC"
"789","Traeshon Holden","WR /NarbonneHarbor City, CA","WR",91.84,"Oregon Ducks",110000,89000,"Pac-12"
"790","Kentron Poitier","WR /Miami PalmettoMiami, FL","WR",88.1,"Florida State Seminoles",109000,8100,"ACC"
"791","Jordan Watkins","WR /Butler TraditionalLouisville, KY","WR",85.07,"Ole Miss Rebels",109000,42000,"SEC"
"792","Bucky Irving","RB /HillcrestCountry Club Hills, IL","RB",89.9,"Oregon Ducks",908000,326000,"Pac-12"
"793","Blake Corum","RB /St. Frances AcademyLaurel, MD","RB",93.42,"Michigan Wolverines",858000,204000,"Big Ten"
"794","TreVeyon Henderson","RB /HopewellHopewell, VA","RB",97.5,"Ohio State Buckeyes",646000,142000,"Big Ten"
"795","Omarion Hampton","RB /ClevelandClayton, NC","RB",93.38,"North Carolina Tar Heels",632000,22000,"ACC"
"796","Audric Estime","RB /St Joseph RegionalMontvale, NJ","RB",91.31,"Notre Dame Fighting Irish",592000,46000,"Independent"
"797","Ollie Gordon","RB /TrinityEuless, TX","RB",91.44,"Oklahoma State Cowboys",591000,12400,"Big 12"
"798","Jonathon Brooks","RB /HallettsvilleHallettsville, TX","RB",90.44,"Texas Longhorns",576000,32000,"Big 12"
"799","Jaylen Wright","RB /SouthernDurham, NC","RB",87.98,"Tennessee Volunteers",533000,16500,"SEC"
"800","Damien Martinez","RB /LewisvilleLewisville, TX","RB",87.38,"Oregon State Beavers",502000,4300,"Pac-12"
"801","Quinshon Judkins","RB /Pike RoadPike Road, AL","RB",88.28,"Ole Miss Rebels",493000,158000,"SEC"
"802","Jawhar Jordan","RB /HamiltonChandler, AZ","RB",85.97,"Louisville Cardinals",487000,5100,"ACC"
"803","Tahj Brooks","RB /ManorManor, TX","RB",86.53,"Texas Tech Red Raiders",457000,17800,"Big 12"
"804","CJ Baxter Jr.","RB /EdgewaterOrlando, FL","RB",97.26,"Texas Longhorns",449000,41000,"Big 12"
"805","Braelon Allen","RB /Fond Du LacFond Du Lac, WI","RB",92.78,"Wisconsin Badgers",414000,137000,"Big Ten"
"806","Jaydn Ott","RB /NorcoNorco, CA","RB",89.97,"California Golden Bears",391000,18800,"Pac-12"
"807","Ashton Jeanty","RB /Lone StarFrisco, TX","RB",85.51,"Boise State Broncos",374000,1900,"Mountain West"
"809","Trey Benson","RB /St JosephGreenville, MS","RB",89.37,"Florida State Seminoles",370000,69000,"ACC"
"810","Ray Davis","RB /Blair AcademyBlairstown, NJ","RB",81.05,"Kentucky Wildcats",356000,12700,"SEC"
"811","Justice Haynes","RB /BufordRoswell, GA","RB",97.14,"Alabama Crimson Tide",351000,67000,"SEC"
"812","Devin Neal","RB /LawrenceLawrence, KS","RB",89.04,"Kansas Jayhawks",344000,5800,"Big 12"
"813","Trevor Etienne","RB /JenningsJennings, LA","RB",90.36,"Florida Gators",337000,80000,"SEC"
"814","MarShawn Lloyd","RB /DeMatha CatholicHyattsville, MD","RB",95.98,"Usc Trojans",285000,43000,"Pac-12"
"815","Blake Watson","RB /Green HopeCary, NC","RB",76.05,"Memphis Tigers",281000,3300,"American"
"816","Emani Bailey","RB /RyanDenton, TX","RB",82.6,"Tcu Horned Frogs",265000,3800,"Big 12"
"817","Daijun Edwards","RB /Colquitt CountyMoultrie, GA","RB",90.05,"Georgia Bulldogs",252000,11200,"SEC"
"818","Rueben Owens","RB /El CampoEl Campo, TX","RB",96.89,"Texas A&M Aggies",238000,50000,"SEC"
"819","Jase McClellan","RB /AledoAledo, TX","RB",95.88,"Alabama Crimson Tide",234000,7300,"SEC"
"820","Nick Singleton","RB /Governor MifflinReading, PA","RB",97.17,"Penn State Nittany Lions",231000,52000,"Big Ten"
"821","Ismail Mahdi","RB /Plano EastPlano, TX","RB",50,"Texas State Bobcats",228000,17900,"Sun Belt"
"822","Kyle Monangai","RB /Don Bosco PrepRamsey, NJ","RB",80.6,"Rutgers Scarlet Knights",215000,6500,"Big Ten"
"823","Kaytron Allen","RB /IMG AcademyNorfolk, VA","RB",93.48,"Penn State Nittany Lions",211000,23000,"Big Ten"
"824","Jaydon Blue","RB /Klein CainHouston, TX","RB",92.25,"Texas Longhorns",192000,10200,"Big 12"
"825","Rasheen Ali","RB /Shaker HeightsCleveland, OH","RB",50,"Marshall Thundering Herd",188000,5400,"Sun Belt"
"826","Peny Boone","RB /Martin Luther KingDetroit, MI","RB",89.07,"Toledo Rockets",186000,38000,"MAC"
"827","Richard Young","RB /Lehigh SeniorLehigh Acres, FL","RB",95.51,"Alabama Crimson Tide",172000,42000,"SEC"
"828","Dylan Edwards","RB /DerbyDerby, KS","RB",92.43,"Colorado Buffaloes",165000,144000,"Pac-12"
"829","Logan Diggs","RB /Archbishop RummelMetairie, LA","RB",88.37,"Lsu Tigers",158000,26000,"SEC"
"830","Kendall Milton","RB /BuchananClovis, CA","RB",95.8,"Georgia Bulldogs",156000,105000,"SEC"
"831","Jabari Small","RB /Briarcrest ChristianMemphis, TN","RB",87.1,"Tennessee Volunteers",149000,22000,"SEC"
"832","Miyan Williams","RB /Winton WoodsCincinnati, OH","RB",86.3,"Ohio State Buckeyes",142000,66000,"Big Ten"
"833","Frank Gore Jr.","RB /KillianMiami, FL","RB",82.9,"Southern Miss Golden Eagles",140000,39000,"Sun Belt"
"834","Makhi Hughes","RB /HuffmanBirmingham, AL","RB",83.01,"Tulane Green Wave",135000,1400,"American"
"835","Quinton Cooley","RB /Southern NashBailey, NC","RB",83.23,"Liberty Flames",133000,34000,"C-USA"
"836","Jeremiyah Love","RB /Christian Brothers CollegeSaint Louis, MO","RB",94.88,"Notre Dame Fighting Irish",129000,10000,"Independent"
"837","Roderick Robinson II","RB /LincolnSan Diego, CA","RB",93.03,"Georgia Bulldogs",129000,19100,"SEC"
"838","Jonah Coleman","RB /LincolnStockton, CA","RB",88.05,"Arizona Wildcats",129000,229000,"Pac-12"
"839","Dante Dowdell","RB /Picayune MemorialPicayune, MS","RB",93.36,"Oregon Ducks",127000,21000,"Pac-12"
"840","Cole Cabana","RB /DexterDexter, MI","RB",92.06,"Michigan Wolverines",122000,42000,"Big Ten"
"841","Dillon Johnson","RB /St JosephGreenville, MS","RB",88.7,"Washington Huskies",120000,23000,"Pac-12"
"842","Quinten Joyner","RB /ManorManor, TX","RB",92.18,"Usc Trojans",119000,3200,"Pac-12"
"843","Cameron Seldon","RB /NorthumberlandHeathsville, VA","RB",93.33,"Tennessee Volunteers",119000,4600,"SEC"
"844","Rodney Hill","RB /Bulloch AcademyStatesboro, GA","RB",88.22,"Florida State Seminoles",117000,17000,"ACC"
"845","Jeremiah Cobb","RB /Montgomery Catholic PreparatoryMontgomery, AL","RB",93.53,"Auburn Tigers",116000,7200,"SEC"
"846","Jarquez Hunter","RB /Neshoba CentralPhiladelphia, MS","RB",85.93,"Auburn Tigers",114000,41000,"SEC"
"847","Roydell Williams","RB /Hueytown Hueytown, AL","RB",94.5,"Alabama Crimson Tide",114000,21000,"SEC"
"848","LeQuint Allen","RB /MillvilleMillville, NJ","RB",85.85,"Syracuse Orange",114000,12800,"ACC"
"849","Montrell Johnson","RB /De La SalleNew Orleans, LA","RB",85,"Florida Gators",113000,22000,"SEC"
"850","Donovan Edwards","RB /West BloomfieldWest Bloomfield, MI","RB",96.61,"Michigan Wolverines",112000,75000,"Big Ten"
"851","Kedrick Reescano","RB /New CaneyNew Caney, TX","RB",93.53,"Ole Miss Rebels",110000,6400,"SEC"
"852","Carson Steele","RB /Center GroveGreenwood, IN","RB",50,"Ucla Bruins",109000,12900,"Pac-12"
"853","Will Shipley","RB /WeddingtonMatthews, NC","RB",96.56,"Clemson Tigers",108000,96000,"ACC"
"854","Amari Daniels","RB /Miami CentralMiami, FL","RB",91.32,"Texas A&M Aggies",108000,19000,"SEC"
"855","Gabe Ervin Jr.","RB /BufordBuford, GA","RB",87.78,"Nebraska Cornhuskers",107000,19200,"Big Ten"
"856","Corey Kiner","RB /Roger BaconCincinnati, OH","RB",92.63,"Cincinnati Bearcats",106000,39000,"Big 12"
"857","Rahmir Johnson","RB /Bergen CatholicOradell, NJ","RB",89,"Nebraska Cornhuskers",101000,14500,"Big Ten"
"858","Kaleb Jackson","RB /Liberty Magnet High SchoolBaton Rouge, LA","RB",92.26,"Lsu Tigers",100000,4900,"SEC"
"859","Daylan Smothers","RB /West CharlotteCharlotte, NC","RB",89.49,"Oklahoma Sooners",98000,95000,"Big 12"
"860","Trey Holly","RB /Union ParishFarmerville, LA","RB",91.06,"Lsu Tigers",97000,26000,"SEC"
"861","Dakereon Joyner","RB /Fort DorchesterNorth Charleston, SC","RB",91.11,"South Carolina Gamecocks",97000,66000,"SEC"
"862","Josh Williams","RB /The Kinkaid SchoolHouston, TX","RB",77.27,"Lsu Tigers",95000,25000,"SEC"
"865","Ulysses Bentley","RB /C.E. KingHouston, TX","RB",82.1,"Ole Miss Rebels",88000,12200,"SEC"
"866","Treyaun Webb","RB /Trinity Christian AcademyJacksonville, FL","RB",89.76,"Florida Gators",88000,32000,"SEC"
"867","Le'Veon Moss","RB /Istrouma SeniorBaton Rouge, LA","RB",94.77,"Texas A&M Aggies",84000,3200,"SEC"
"868","A'Marion Peterson","RB /HirschiWichita Falls, TX","RB",89.3,"Usc Trojans",78000,1800,"Pac-12"
"869","Emeka Megwa","RB /Timber CreekKeller, TX","RB",89.5,"Oklahoma Sooners",77000,34000,"Big 12"
"870","Marquez Cooper","RB /Quince OrchardGaithersburg, MD","RB",78.21,"Ball State Cardinals",75000,2100,"MAC"
"871","Trey Sanders","RB /IMG AcademyBradenton, FL","RB",98.21,"Tcu Horned Frogs",74000,60000,"Big 12"
"872","Raheim Sanders","RB /RockledgeRockledge, FL","RB",90.24,"Arkansas Razorbacks",73000,36000,"SEC"
"873","Jovantae Barnes","RB /Desert PinesLas Vegas, NV","RB",94.01,"Oklahoma Sooners",72000,12800,"Big 12"
"874","Marcus Major","RB /MillwoodOklahoma City, OK","RB",90.12,"Oklahoma Sooners",71000,10700,"Big 12"
"875","CJ Stokes","RB /Hammond SchoolColumbia, SC","RB",86.2,"Michigan Wolverines",70000,15000,"Big Ten"
"877","Ramon Jefferson","RB /Harry S TrumanBronx, NY","RB",50,"Kentucky Wildcats",69000,30000,"SEC"
"878","Henry Parrish","RB /ColumbusMiami, FL","RB",90.69,"Miami Hurricanes",69000,14100,"ACC"
"879","Kavosiey Smoke","RB /WetumpkaWetumpka, AL","RB",86.53,"Colorado Buffaloes",69000,39000,"Pac-12"
"880","Dylan Sampson","RB /DutchtownGeismar, LA","RB",89.05,"Tennessee Volunteers",68000,8500,"SEC"
"881","Jayden Limar","RB /Lake StevensLake Stevens, WA","RB",90.5,"Oregon Ducks",67000,9600,"Pac-12"
"883","Pierce Hudgens","RB /Flower MoundFlower Mound, TX","RB",50,"Oklahoma Sooners",66000,3100,"Big 12"
"884","Isaiah Augustave","RB /NaplesNaples, FL","RB",90.45,"Arkansas Razorbacks",66000,2800,"SEC"
"885","Bentavious Thompson","RB /Miami SouthridgeMiami, FL","RB",86.87,"Oklahoma Sooners",65000,4500,"Big 12"
"886","Phil Mafah","RB /GraysonLoganville, GA","RB",91.95,"Clemson Tigers",64000,22000,"ACC"
"887","AJ Green","RB /UnionTulsa, OK","RB",92.92,"Arkansas Razorbacks",64000,24000,"SEC"
"888","Juju McDowell","RB /Lee CountyLeesburg, GA","RB",86.72,"South Carolina Gamecocks",64000,12600,"SEC"
"889","Tavierre Dunlap","RB /Del ValleDel Valle, TX","RB",89.28,"Michigan Wolverines",64000,5600,"Big Ten"
"890","TreVonte' Citizen","RB /Lake Charles College PrepLake Charles, LA","RB",94.52,"Miami Hurricanes",64000,10300,"ACC"
"891","Djay Braswell","RB /Washington CountySandersville, GA","RB",91.19,"South Carolina Gamecocks",63000,2500,"SEC"
"892","Shedeur Sanders","QB /Trinity Christian SchoolCedar Hill, TX","QB",89.16,"Colorado Buffaloes",4400000,2400000,"Pac-12"
"893","Arch Manning","QB /Isidore NewmanNew Orleans, LA","QB",99.53,"Texas Longhorns",2800000,283000,"Big 12"
"894","Caleb Williams","QB /Gonzaga Washington, DC","QB",98.76,"Usc Trojans",2800000,362000,"Pac-12"
"895","Bo Nix","QB /Scottsboro SchPinson, AL","QB",96.61,"Oregon Ducks",1600000,246000,"Pac-12"
"896","Spencer Rattler","QB /PinnaclePhoenix, AZ","QB",97.85,"South Carolina Gamecocks",1600000,574000,"SEC"
"897","Jayden Daniels","QB /CajonSan Bernardino, CA","QB",95.6,"Lsu Tigers",1500000,136000,"SEC"
"898","Jalen Milroe","QB /TompkinsKaty, TX","QB",94.5,"Alabama Crimson Tide",1300000,156000,"SEC"
"899","J.J. McCarthy","QB /IMG AcademyLa Grange Park, IL","QB",96.08,"Michigan Wolverines",1200000,332000,"Big Ten"
"900","Michael Penix Jr.","QB /Tampa Bay TechTampa, FL","QB",87.4,"Washington Huskies",1200000,66000,"Pac-12"
"901","Drake Maye","QB /Myers ParkCharlotte, NC","QB",96.11,"North Carolina Tar Heels",1200000,89000,"ACC"
"902","Jordan Travis","QB /The Benjamin SchoolNorth Palm Beach, FL","QB",85,"Florida State Seminoles",1200000,199000,"ACC"
"903","Quinn Ewers","QB /Southlake CarrollSouthlake, TX","QB",99.24,"Texas Longhorns",1100000,236000,"Big 12"
"904","Carson Beck","QB /MandarinJacksonville, FL","QB",91.28,"Georgia Bulldogs",1100000,103000,"SEC"
"905","Dillon Gabriel","QB /MililaniMililani, HI","QB",86.8,"Oklahoma Sooners",1100000,126000,"Big 12"
"906","Sam Hartman","QB /Oceanside Collegiate AcademyMount Pleasant, SC","QB",85.63,"Notre Dame Fighting Irish",1100000,356000,"Independent"
"907","Nico Iamaleava","QB /WarrenLong Beach, CA","QB",99.01,"Tennessee Volunteers",1100000,333000,"SEC"
"908","Jaxson Dart","QB /Corner CanyonDraper, UT","QB",96.23,"Ole Miss Rebels",883000,102000,"SEC"
"909","Kyle McCord","QB /St. Joseph'sPhiladelphia, PA","QB",97.08,"Ohio State Buckeyes",857000,91000,"Big Ten"
"910","DJ Uiagalelei","QB /St. John BoscoBellflower, CA","QB",98.32,"Oregon State Beavers",842000,195000,"Pac-12"
"911","Malachi Nelson","QB /Los AlamitosLos Alamitos, CA","QB",98.8,"Usc Trojans",833000,169000,"Pac-12"
"912","Dante Moore","QB /Martin Luther KingDetroit, MI","QB",99.22,"Ucla Bruins",832000,68000,"Pac-12"
"913","Brady Cook","QB /Chaminade College PrepSaint Louis, MO","QB",86.5,"Missouri Tigers",793000,29000,"SEC"
"914","Jackson Arnold","QB /GuyerDenton, TX","QB",98.94,"Oklahoma Sooners",748000,58000,"Big 12"
"916","Drew Allar","QB /MedinaMedina, OH","QB",97.15,"Penn State Nittany Lions",649000,110000,"Big Ten"
"917","Cameron Ward","QB /ColumbiaWest Columbia, TX","QB",50,"Washington State Cougars",629000,119000,"Pac-12"
"918","Taulia Tagovailoa","QB /ThompsonAlabaster, AL","QB",91.89,"Maryland Terrapins",590000,154000,"Big Ten"
"919","Joe Milton","QB /OlympiaOrlando, FL","QB",90.9,"Tennessee Volunteers",590000,125000,"SEC"
"921","Joey Aguilar","QB /FreedomOakley, CA","QB",87.04,"Appalachian State Mountaineers",498000,1200,"Sun Belt"
"922","Michael Pratt","QB /Deerfield BeachDeerfield Beach, FL","QB",83.37,"Tulane Green Wave",465000,17400,"American"
"923","Jack Plummer","QB /GilbertGilbert, AZ","QB",87.5,"Louisville Cardinals",451000,7500,"ACC"
"924","Jaden Rashada","QB /PittsburgPittsburg, CA","QB",95.06,"Arizona State Sun Devils",400000,42000,"Pac-12"
"925","KJ Jefferson","QB /North PanolaSardis, MS","QB",90.27,"Arkansas Razorbacks",380000,53000,"SEC"
"926","Preston Stone","QB /Parish Episcopal SchoolDallas, TX","QB",93.27,"Smu Mustangs",376000,19200,"American"
"927","Eli Holstein","QB /ZacharyZachary, LA","QB",94.65,"Alabama Crimson Tide",374000,11100,"SEC"
"928","Devin Leary","QB /Timber CreekSicklerville, NJ","QB",89.62,"Kentucky Wildcats",368000,41000,"SEC"
"929","Cade Klubnik","QB /WestlakeAustin, TX","QB",97.56,"Clemson Tigers",361000,118000,"ACC"
"930","Noah Fifita","QB /ServiteAnaheim, CA","QB",87.85,"Arizona Wildcats",353000,10000,"Pac-12"
"931","Christopher Vizzina","QB /Briarwood ChristianBirmingham, AL","QB",94.59,"Clemson Tigers",353000,30000,"ACC"
"933","Kaidon Salter","QB /Cedar HillCedar Hill, TX","QB",92.8,"Tennessee Volunteers",333000,20000,"SEC"
"934","Conner Weigman","QB /BridgelandCypress, TX","QB",97.08,"Texas A&M Aggies",328000,43000,"SEC"
"935","Avery Johnson","QB /MaizeMaize, KS","QB",94.11,"Kansas State Wildcats",314000,81000,"Big 12"
"936","Haynes King","QB /LongviewLongview, TX","QB",93.13,"Georgia Tech Yellow Jackets",307000,26000,"ACC"
"938","Jalon Daniels","QB /LawndaleLawndale, CA","QB",79.82,"Kansas Jayhawks",281000,98000,"Big 12"
"940","Austin Novosad","QB /Dripping SpringsDripping Springs, TX","QB",93.8,"Oregon Ducks",257000,15000,"Pac-12"
"941","TJ Finley","QB /PonchatoulaPonchatoula, LA","QB",88.67,"Texas State Bobcats",253000,71000,"Sun Belt"
"942","Riley Leonard","QB /FairhopeFairhope, AL","QB",87.6,"Duke Blue Devils",247000,22000,"ACC"
"943","Maalik Murphy","QB /Junipero SerraGardena, CA","QB",91.7,"Texas Longhorns",239000,46000,"Big 12"
"944","Seth Henigan","QB /RyanDenton, TX","QB",83.17,"Memphis Tigers",234000,3600,"American"
"945","Dylan Lonergan","QB /BrookwoodSnellville, GA","QB",92.74,"Alabama Crimson Tide",182000,10400,"SEC"
"946","JJ Kohl","QB /AnkenyAnkeny, IA","QB",92.89,"Iowa State Cyclones",180000,6600,"Big 12"
"947","Jayden Maiava","QB /KaimukiHonolulu, HI","QB",85.03,"Unlv Rebels",176000,673,"Mountain West"
"948","Dequann Finn","QB /Martin Luther KingDetroit, MI","QB",83.68,"Toledo Rockets",174000,10500,"MAC"
"949","Garrett Nussmeier","QB /MarcusFlower Mound, TX","QB",94.54,"Lsu Tigers",174000,302000,"SEC"
"950","Rocco Becht","QB /Wiregrass RanchZephyrhills, FL","QB",87.31,"Iowa State Cyclones",170000,7400,"Big 12"
"951","Frank Harris","QB /Samuel ClemensSchertz, TX","QB",81.13,"Utsa Roadrunners",158000,19000,"American"
"952","Aidan Chiles","QB /DowneyDowney, CA","QB",92.76,"Oregon State Beavers",154000,5800,"Pac-12"
"953","Brock Vandagriff","QB /Prince Avenue Christian SchoolBogart, GA","QB",97.23,"Georgia Bulldogs",152000,62000,"SEC"
"954","Robby Ashford","QB /HooverHoover, AL","QB",89.95,"Auburn Tigers",148000,56000,"SEC"
"955","Ty Simpson","QB /WestviewMartin, TN","QB",97.24,"Alabama Crimson Tide",144000,41000,"SEC"
"957","Cade McNamara","QB /Damonte RanchReno, NV","QB",90.44,"Iowa Hawkeyes",139000,113000,"Big Ten"
"958","Payton Thorne","QB /Naperville CentralNaperville, IL","QB",83.53,"Auburn Tigers",139000,39000,"SEC"
"959","Jeff Sims","QB /SandalwoodJacksonville, FL","QB",90.6,"Nebraska Cornhuskers",135000,40000,"Big Ten"
"960","Devin Brown","QB /Corner CanyonDraper, UT","QB",97,"Ohio State Buckeyes",133000,27000,"Big Ten"
"961","Kenny Minchey","QB /Pope John Paul IIHendersonville, TN","QB",92.56,"Notre Dame Fighting Irish",131000,6900,"Independent"
"963","Alex Orji","QB /SachseSachse, TX","QB",89.08,"Michigan Wolverines",124000,96000,"Big Ten"
"964","Lincoln Kienholz","QB /T.F. RiggsPierre, SD","QB",91.99,"Ohio State Buckeyes",123000,8200,"Big Ten"
"965","John Rhys Plumlee","QB /Oak GroveHattiesburg, MS","QB",89.76,"Ucf Knights",122000,162000,"Big 12"
"966","Austin Simmons","QB /Moore Haven Junior/seniorPahokee, FL","QB",91.01,"Ole Miss Rebels",119000,19000,"SEC"
"967","General Booty","QB /AllenAllen, TX","QB",50,"Oklahoma Sooners",119000,49000,"Big 12"
"968","Malik Cunningham","QB /Park CrossingMontgomery, AL","QB",87.76,"Louisville Cardinals",119000,69000,"ACC"
"969","Beau Pribula","QB /Central YorkYork, PA","QB",88.5,"Penn State Nittany Lions",119000,25000,"Big Ten"
"970","Tate Rodemaker","QB /ValdostaValdosta, GA","QB",86.27,"Florida State Seminoles",115000,14400,"ACC"
"971","Miller Moss","QB /Bishop AlemanyMission Hills, CA","QB",94.81,"Usc Trojans",114000,15300,"Pac-12"
"972","Spencer Sanders","QB /RyanDenton, TX","QB",92.38,"Ole Miss Rebels",114000,38000,"SEC"
"973","Max Brown","QB /Lincoln Christian SchoolTulsa, OK","QB",84.62,"Florida Gators",111000,9500,"SEC"
"974","Emory Jones","QB /Heard CountyFranklin, GA","QB",94.09,"Cincinnati Bearcats",111000,97000,"Big 12"
"975","Rickie Collins","QB /WoodlawnBaton Rouge, LA","QB",91.38,"Lsu Tigers",109000,15800,"SEC"
"976","Jake Garcia","QB /GraysonLoganville, GA","QB",95.87,"Missouri Tigers",108000,71000,"SEC"
"977","JT Daniels","QB /Mater DeiSanta Ana, CA","QB",97.81,"Rice Owls",106000,100000,"American"
"978","Heinrich Haarberg","QB /Kearney CatholicKearney, NE","QB",88.27,"Nebraska Cornhuskers",105000,10000,"Big Ten"
"979","Marcel Reed","QB /Montgomery Bell AcademyNashville, TN","QB",90.07,"Texas A&M Aggies",105000,15900,"SEC"
"980","Gunner Stockton","QB /Rabun CountyTiger, GA","QB",93.11,"Georgia Bulldogs",101000,40000,"SEC"
"981","Pierce Clarkson","QB /St. John BoscoBellflower, CA","QB",89.28,"Louisville Cardinals",97000,49000,"ACC"
"982","Harrison Bailey","QB /MariettaMarietta, GA","QB",94.96,"Louisville Cardinals",93000,51000,"ACC"
"983","Austin Mack","QB /FolsomFolsom, CA","QB",91.82,"Washington Huskies",91000,1600,"Pac-12"
"984","Ty Thompson","QB /MesquiteGilbert, AZ","QB",96.79,"Oregon Ducks",89000,37000,"Pac-12"
"985","Chase Griffin","QB /HuttoHutto, TX","QB",83.1,"Ucla Bruins",87000,68000,"Pac-12"
"986","Ryan Hilinski","QB /Orange LutheranOrange, CA","QB",95.19,"Northwestern Wildcats",85000,70000,"Big Ten"
"987","Luke Doty","QB /Myrtle Beach Myrtle Beach, SC","QB",94.47,"South Carolina Gamecocks",85000,28000,"SEC"
"988","Jacurri Brown","QB /LowndesValdosta, GA","QB",90.04,"Miami Hurricanes",84000,25000,"ACC"
"989","Walker Howard","QB /St. Thomas MoreLafayette, LA","QB",96.3,"Ole Miss Rebels",83000,39000,"SEC"
"991","Davis Beville","QB /GreenvilleGreenville, SC","QB",87.47,"Oklahoma Sooners",82000,13300,"Big 12"
